Sample,SBS288A,SBS288B,SBS288C,SBS288D,SBS288E,SBS288F,SBS288G,SBS288H,SBS288I,SBS288J,SBS288K,SBS288L,SBS288M
PD42854a,29526,0,0,0,2791,0,0,0,0,0,0,0,0
PD43304a,747,0,0,1933,2208,3282,0,0,0,0,0,0,0
PD43305a,1542,0,0,0,422,0,0,0,0,0,0,0,0
PD43306a,0,0,5897,2050,2631,0,0,0,0,0,0,5621,0
PD43777a,16895,3060,0,0,2309,0,0,0,0,0,0,0,0
PD43779a,3655,3570,4909,0,2119,4485,0,0,0,0,0,0,0
PD43780a,1769,1621,0,1781,2076,0,0,0,0,0,0,0,0
PD43782a,0,0,1749,2121,808,0,0,0,0,0,0,0,0
PD43783a,0,935,3079,3375,1517,0,0,1681,0,0,0,0,0
PD43785a,1931,0,3120,2107,1749,0,0,0,0,0,0,0,0
PD43786a,8955,1780,5551,0,1679,0,0,0,0,0,0,0,0
PD43787a,1926,2586,3029,2376,2488,0,0,0,0,0,0,0,0
PD43789a,820,0,3126,1384,1842,0,0,0,0,0,0,0,0
PD43790a,0,0,0,1633,848,0,0,1350,0,0,0,0,0
PD43791a,5233,0,0,0,0,0,0,10766,35437,0,4280,0,0
PD43792a,1154,0,0,0,0,1841,0,0,0,0,0,0,0
PD43793a,0,0,0,922,858,0,0,0,0,2961,0,0,0
PD43795a,12332,4691,0,0,0,0,0,0,0,0,0,0,0
PD43796a,0,0,0,1078,2032,0,0,0,0,0,0,0,0
PD43798a,0,638,0,2297,2395,0,0,1517,0,0,0,0,0
PD43800a,2719,1590,0,1979,0,0,0,0,0,0,0,0,0
PD43802a,8488,6060,0,0,0,0,12112,0,0,0,0,0,0
PD43803a,0,0,0,734,810,0,0,756,0,0,0,0,0
PD43806a,3341,0,0,0,0,0,6153,0,0,0,0,0,0
PD43807a,0,0,2263,0,0,0,0,0,0,0,0,0,0
PD43809a,2542,914,0,0,0,4128,6641,0,0,0,0,0,0
PD43810a,2825,3809,0,0,0,6101,0,0,0,0,0,2602,0
PD43811a,0,0,0,0,0,0,0,0,22275,0,2061,0,0
PD43812a,939,914,3070,3080,1714,2767,0,0,0,0,0,3092,0
PD44659a,500,0,3399,0,1043,0,0,0,0,0,0,0,0
PD44660a,3682,2631,5328,0,0,0,0,0,0,0,0,0,3125
PD44661a,4634,2325,0,0,1858,0,0,0,0,0,0,0,0
PD44662a,0,0,0,1295,1981,0,0,0,0,0,0,0,0
PD44663a,1860,0,4006,3582,1817,0,0,0,0,0,0,1803,0
PD44690a,3896,0,5454,0,0,0,0,0,0,0,1479,3877,1596
PD45482a,3411,3490,0,0,0,0,0,0,0,0,0,0,0
PD45483a,2259,1980,0,0,2170,0,0,0,0,0,0,0,0
