Sample,SBS288A,SBS288B,SBS288C,SBS288D,SBS288E,SBS288F,SBS288G,SBS288H,SBS288I,SBS288J,SBS288K,SBS288L,SBS288M,SBS288N,SBS288O,SBS288P,SBS288Q,SBS288R,SBS288S,SBS288T,DBS78A,DBS78B,DBS78C,DBS78D,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,SV32A,SV32B,SV32C,SV32D,SV32E,SV32F,SV32G,SV32H,SV32I,SV32J
PD43812a,0,639,3291,1993,1852,0,2428,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,17,0,0,0,315,408,0,0,0,0,0,55,68,0,82,55,0,0,0,0,0
PD43813a,0,420,0,882,894,0,0,0,0,0,0,0,1481,0,0,0,0,0,483,0,13,0,0,0,278,613,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0
PD43815a,0,0,3997,2069,0,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,0,12,0,0,438,0,0,0,0,0,0,150,80,0,0,0,0,146,0,0,0
PD43816a,0,0,3775,0,0,0,0,0,0,0,0,0,0,0,2713,0,1730,0,0,1853,0,0,44,0,243,225,0,0,0,155,0,0,220,44,50,0,0,0,0,45,0,0
PD43817a,0,0,3053,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,166,0,0,0,0,0,0,37,0,52,0,0,0,0,0,0,0
PD43818a,0,0,2467,0,615,0,0,1116,0,0,0,0,0,0,0,0,767,0,530,0,0,14,14,0,0,282,0,0,97,144,0,0,70,36,0,0,0,0,0,32,0,0
PD43819a,1664,1854,0,1758,0,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,54,67,0,0,0,0,0,22,0,0
PD44659a,0,0,2139,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,48,0,0,30,0,0,0,0,0,0
PD44660a,3083,2499,4274,0,2083,0,0,0,0,0,0,2886,0,0,2195,0,0,0,0,0,0,20,0,0,631,510,0,0,0,0,0,0,90,46,38,54,59,0,0,0,0,0
PD44661a,4042,2256,0,0,1750,0,0,0,0,1491,0,0,0,0,0,0,0,0,0,0,0,0,14,0,385,380,0,0,367,0,0,0,138,51,0,52,0,55,0,0,40,0
PD44662a,0,402,0,970,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,204,0,0,0,0,0,0,78,33,31,42,0,60,0,0,0,0
PD44663a,1322,0,3744,2369,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,326,402,0,0,0,0,0,0,146,129,0,0,0,0,0,0,0,0
PD44664a,9600,3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,143,41,0,53,0,0,0,0,39,0
PD44665a,1004,936,2862,1400,1013,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,0,19,36,0,0,226,0,0,102,132,0,0,202,118,87,0,0,46,0,0,0,0
PD44666a,0,766,0,1204,1316,0,0,816,0,0,0,0,0,0,0,0,794,0,0,0,0,0,0,0,0,252,167,0,0,0,0,0,83,0,38,0,0,0,92,0,61,0
PD44668a,0,418,0,705,715,0,0,920,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,82,0,48,0,71,0,0,0,0,0
PD44669a,0,714,4371,1772,0,0,0,0,5924,0,0,0,0,2053,0,0,0,0,0,0,0,148,27,0,151,365,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD44670a,0,289,0,1511,550,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD44671a,699,830,0,1323,0,0,0,0,1967,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,149,99,0,143,0,0,0,0,90,0,0,0,0,35,0,0,0,0
PD44672a,0,0,0,0,0,0,0,0,0,0,0,0,564,0,376,0,368,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
PD44674a,0,1640,0,3339,2339,0,0,1812,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,572,652,0,0,0,0,0,98,45,0,0,0,0,0,0,0,0
PD44675a,0,526,2263,1183,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,305,0,0,0,0,0,0,268,121,0,0,0,0,0,0,0,0
PD44676a,0,402,0,824,676,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
PD44678a,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
PD44679a,831,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,41,82,0,99,0,0,0,0,41,0,0,0,34,0,34,0,27,0
PD44681a,743,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,74,0,0,0,0,0,0,0,185,0
PD44682a,0,728,0,2456,971,0,0,0,0,0,0,0,0,1669,0,0,0,0,0,854,20,0,0,0,0,468,0,0,0,0,0,0,190,94,0,0,0,0,0,0,0,0
PD44683a,677,0,2184,1573,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,98,49,53,54,0,0,101,50,46,0
PD44684a,2865,1469,0,1537,1043,0,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,460,348,0,0,0,0,0,163,0,53,0,0,0,0,52,0,0
PD44685a,1305,1562,3791,2203,1849,0,2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,383,0,0,0,0,0,96,36,0,52,0,0,0,0,0,0
PD44686a,506,373,0,0,444,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,130,0,99,0,0,121,38,0,0,43,0,0,0,0,0
PD44687a,2398,2365,0,0,1456,0,5753,0,3966,0,0,0,0,0,0,1964,0,0,1283,0,50,0,0,0,343,402,0,427,0,0,0,0,46,0,42,60,0,0,0,0,0,0
PD44688a,5226,3193,0,0,0,0,0,0,0,2271,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,136,0,160,0,0,0,0,118,0,0,0,0,0,0,0,0,0
PD44689a,873,0,2493,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0,22,0,0,86,0,0,0,144,0,0,47,26,27,64,0,0,0,25,0,0
PD44690a,3424,1447,0,0,0,0,0,0,0,0,0,2184,0,0,1085,0,0,1219,0,1694,30,0,0,0,0,742,0,0,0,0,0,0,160,131,0,0,0,0,0,0,50,0
PD44754a,0,0,1591,1248,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,216,0,0,0,0,0,0,0,34,0,56,0,0,0,39,54
PD44755a,4146,6527,0,1759,1370,0,0,0,0,2565,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,146,0,0,0,0,0,0,41,0,0,39,0,0,32,0,0,0
PD44756a,2647,0,0,0,0,3329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,291,321,0,0,0,110,0,0,0,59,43,0,0,0,0
PD44757a,379,251,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,20,0,0,42,0,0,0,0,0,0
PD45472a,0,0,2562,1582,0,0,0,0,2715,0,0,1821,0,1509,794,0,0,0,0,0,0,25,15,0,280,173,0,0,122,0,0,0,125,37,41,0,0,69,0,70,101,0
PD45473a,0,0,0,1839,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,87,38,0,0,0,0,0,0,0,70
PD45474a,3921,1452,0,0,1271,0,0,0,0,1585,10002,0,0,5365,0,0,0,2109,0,0,0,0,0,0,16121,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
PD45475a,1062,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,57,0,0,0,0,34,0,0,29,0,0,0,0,0,0
PD45476a,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,19,0,0,12,0,0,0,0,0,0
PD45477a,1624,2627,0,1963,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,538,0,0,0,0,0,0,54,0,0,49,0,0,50,38,69,0
PD45479a,0,0,0,748,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,46,0,0,0,0,0,34,0,0,0
PD45480a,2024,888,0,1171,0,0,0,0,4015,0,0,1700,0,1512,0,0,0,0,0,0,0,58,0,0,0,215,0,272,0,0,0,0,74,0,0,0,0,39,0,28,0,0
PD45481a,0,0,1962,1272,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,0,0,0,324,0,0,0,0,0,0,185,37,0,0,0,0,0,0,0,0
PD45482a,2830,3155,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,274,0,0,0,0,0,0,136,147,0,0,0,0,0,0,0,0
PD45483a,1734,1712,0,939,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,248,0,0,0,0,0,56,23,0,47,0,0,70,0,0,0
PD45484a,0,0,1710,0,632,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,45,0,0,140,0,124,0,129,0,0,33,0,35,59,0,0,0,0,0,0
PD45485a,7017,4753,4068,0,1366,0,0,0,0,2509,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,323,438,0,0,0,0,0,52,0,0,0,0,29,0,0,0,0
PD45486a,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,0,0,0,0,0,22,0,0,211,0,175,0,150,0,0,41,0,0,0,0,0,0,0,37,0
PD45487a,896,0,2754,1458,0,2976,0,1191,0,0,0,0,0,0,0,0,998,0,0,0,45,0,23,0,0,57,0,0,109,108,0,0,47,0,46,0,0,0,0,0,0,0
PD45488a,0,313,0,739,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,17,0,0,104,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
PD45489a,1072,576,0,919,584,0,0,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,309,315,0,664,157,0,0,168,0,65,0,62,91,90,0,0,0
PD45490a,0,0,0,1059,627,0,0,0,0,0,0,0,0,0,0,0,809,0,0,0,0,14,26,0,0,178,0,145,70,100,0,0,117,21,34,0,0,0,0,0,0,0
PD45491a,618,797,0,0,0,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,100,164,0,0,0,184,0,0,116,0,0,0,0,0,0,0,0,0
PD45492a,2577,2788,0,1685,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,0,0,0,0,20,0,0,242,0,0,0,208,0,0,74,77,0,0,0,0,0,45,31,0
